title,link,pubDate,description,source,sentiment
Hurricane Debby makes landfall at Florida's Big Bend region - BBC.com,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiWkFVX3lxTE9hM0h3X0RkTHFwV2FWWVU1N1lWSFR4RFRITThYUEJBWVBBOHNvWHZKcTljTVM3ZFNnMFNLTV84RmhsTGlfR0FYWWswN3VONUlZY0VBRlhmcER2UdIBX0FVX3lxTE9CSjFFQ0EzY0ZZTGxlaHpfR2tORlZMR3dLODJERjA0RDhVTEE5bmdwNC13SnB1SjhuMmZCVWp3My1mekNFeWJUWWhHRzlHbWZQeTF3MmV4cHJFdjNwY09n?oc%3D5&gae=cb-,2024-08-05 12:48:13+00:00,Hurricane Debby makes landfall at Florida's Big Bend region,BBC.com,3
"Bangladesh PM Sheikh Hasina flees, army says interim government to be formed - Reuters.com",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMirgFBVV95cUxPcGdLSVhwUzczWUwwVjJId0hzRmVEakNDV1hYQnZhVk1VTXBCM0VxQWVWRVdzUzRkampiQzY2RVJtaC1OQ0JuNTNnRUlWc0N5SEpYRWw0cnh3VWFwTjNGUXE1YU5MSzlLaW5wWGYzYzhRYjVVWDVlR0RCeU5ZVjNJNDI1UGQ0UDJ6OGl2d0JCcGcxTnlIYTZlNHp0bGpIVm10elN4OE45WjBxbmltWUE?oc%3D5&gae=cb-,2024-08-05 14:59:56+00:00,"Bangladesh PM Sheikh Hasina flees, army says interim government to be formed",Reuters.com,1
Opinion | Kamala Harris Surprises Everyone - The New York Times,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMigwFBVV95cUxOTDJyV0ZLUi1OeW9RNGl4UzdNM1NnVW1ZTVhaNGotOE5EWnpYRWY5d2h3STFuQzgtZ1ZCTDctenZpV05mczV6d0pIVEF1REhzb3BuYVZQTjM2U0VubHM0anBGZWEzd2dSbFR2enR0TTdWWmhPMXZTUGdiektUTEp4cHIzRQ?oc%3D5&gae=cb-,2024-08-05 09:05:22+00:00,Opinion | Kamala Harris Surprises Everyone,The New York Times,5
Robert F. Kennedy Jr. Admits to Dumping Dead Bear Cub in Central Park to Make It Look Like Bicycle Accident - PEOPLE,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMirAFBVV95cUxPVkYwRHVQVER0Snd4ZWdMYXNNZ1pva01qbzFXdW9YdzZJNEhZc0hQdGtibWdseklVSEFRMHprXzZQOE9icXp6QTA3Z3FWR3FUVnY5V0o2Z2lJRUZFUXhQZ3BraHpyZ1F1UTAtUjNFbm5BLXpsYm5ReGNjUFNPQ2Nwak9RNnk2cDY4SW9ZUTBLZ2tub2hnUzZheDFmSGRiY20zZmw4NGs5SFJLcU1H?oc%3D5&gae=cb-,2024-08-05 13:02:55+00:00,Robert F. Kennedy Jr. Admits to Dumping Dead Bear Cub in Central Park to Make It Look Like Bicycle Accident,PEOPLE,1
UK prime minister talks of ‘standing army’ of police to deal with rioting across Britain - The Associated Press,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMingFBVV95cUxQSVBRTXE1Mk5lUUhySHJ5QVNYYWZSQUhEdzRjRmtXRVlyRVdkbjZ5R1Bqb0xtcEVDM3BjZjFTc3c3MWwwUzBnLURCZkE4ZG5kWFZnRl9rMGtYVkVZQXhIa0I2dmpJaURBVjFjNXo1VHJJRjR3bHJGVWhuVFpNMWFBZld2aENuUE9lRXVnSl9hV3lTREZoVkROMHBkdWZqQQ?oc%3D5&gae=cb-,2024-08-05 14:56:00+00:00,UK prime minister talks of ‘standing army’ of police to deal with rioting across Britain,The Associated Press,4
"Trump’s 90-minute speech at Atlanta rally splits attacks between Harris, Georgia governor - Wisconsin Examiner",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiyAFBVV95cUxQQlNXa0hZN3RJQXV3YVR3MlFUcTJqQ2JsblcwWV9pQV9hVzNHdkxpOF9qbl9CdlRMaEg1N2JoQkhjRVlOck5NRGw1TW5OZmMza0xLZ2tRY252LXZiZVl2SU9MdWtPVm9CWkJBM1RCUUxYLTA3OE9vUUE4TC1zY3ByWmFZclAzUkxZRzBkT2lnSlBrMjdSaWRibzBkNVZLZ19LbDFMU1hJVG00VHp5SF9rX0NjTUw1VHJ0Q2hRRE9xZU53cWUxMWQ0bA?oc%3D5&gae=cb-,2024-08-05 10:17:22+00:00,"Trump’s 90-minute speech at Atlanta rally splits attacks between Harris, Georgia governor",Wisconsin Examiner,4
Kamala Harris vice president pick expected soon - Reuters.com,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiuwFBVV95cUxPbk1VSmtRRWxrS2MzSGFEQUR5Z2RmQjc1VXJWZ0NIczNNU1RUQmxNVGxfRmZ5TUZrRjlGZGlLc2MxNVBRa2NhWXNiUkJjRnk5b09BUVFnYS1yQy1MdHZmYWVOOWcwYW9aMVN4dS10ZmZzV2p1ZEpTOEw4MU5SYkRVeUZMZlJ6dnFFaFp0SGNyOUlkQnRMT0VEQzVFbnpzTDB2YnQwRFlQb25kNFF0RXVyV3hSbVRCUGZndXB3?oc%3D5&gae=cb-,2024-08-05 14:15:00+00:00,Kamala Harris vice president pick expected soon,Reuters.com,4
"US said to believe Iran attack on Israel imminent, Biden to hold situation room meeting - The Times of Israel",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiuAFBVV95cUxNRFJ1UmI3YlppeUs3NWoycHBKZXJzUWZ0SmFpVS0zbDkxNlNESlF5NDJuN2hPOFFzWmVVbGVKRE1Pc2Y5UGtLMEhMc2RTc3dkWkJCNDlnc0l4NjhBdElPS2VidDBtZnM5ZHdib0NDZlRabWd0dVV4SnhvM1lTaUhTREtyUmF1TTdvM0xFZXdJV2lWMWoxTFI4X3lRRDZsMkk2NGsxbnZ1aE1EaHBrTEtFbnZBcWdlQzJo0gG-AUFVX3lxTE5ZcllIdktOM0ZpZi1meXZCaXpjRlFDdGpXeGk1bnc5ZGdhVGhzYzEtMFIxUGswN2k1TGp3WWJ5X3NuRXlrR0dFQ09SQ05MU3RMYXBTWEZUWVV4ejhjdkR6amRYdWp3UjhvMFltT3FBdENkR3A3RzJUR2ZpZFBJVW5LN2NYU3VsaVJrWjF0VU85RlV6ekFMRVcwdTlNSkY2VGh0TzJvY0VQVzlRSWx4SUVTQkp4UEVkTUZmTFVtdHc?oc%3D5&gae=cb-,2024-08-05 10:18:45+00:00,"US said to believe Iran attack on Israel imminent, Biden to hold situation room meeting",The Times of Israel,1
Tents return to San Francisco streets cleared in homeless sweep - CBS San Francisco,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiogFBVV95cUxORk1LMjYzc3VTUXU1R1QydnBBTF81aUdLYk15dkN0dnk2aWdXSjRYN0dxMkExSHNjSGNPUzE1MHhhWlNJOV9JTThKbXR1Rml3Q19PcGtqMFhMNzE3ek1fU0d4MUo4eHN5T2ZWRG5fUkZIcm1qR0lFWll2U0piNklUOUpyY0VwZjJSd0RFRVo5UFl2dVpmdDdfV3dkUXpiUzdPVFHSAacBQVVfeXFMTXRtb25rSmQ1N0FFUWZqSU1kUjVpSURtLTQ0WXVWRzh3OHNlSldmVmVpc0gwM0dvZ3E3MGRYZGdubTd0bmRtRDlwMFZUN25MTmlnNXUtR1ExdHlKVnlpMnB0QjBhSUFrWmxfUkZ3aVV4S1pIcjF1cFhKY3p0b2ZJVnVfMFl4T3dUR1Y0SGcxZnEyazMwbTU5UUhISFhIeUw1Umx4eGV5M3M?oc%3D5&gae=cb-,2024-08-05 02:28:00+00:00,Tents return to San Francisco streets cleared in homeless sweep,CBS San Francisco,1
"U.S. fugitive known as ""The Devil"" captured while working as cop in Mexico 20 years after Ohio murder - CBS News",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMirgFBVV95cUxQRWV4MnNZejFpdjhGV2c2a2xEMThBWlF4dVZPVFdSN1ZYelhmcmRvd3c5M2FPX1YySVZOelNPcXRQSVlSQUJ2RzVZc3RWaWR5R3Fta0RpRFY0UjhkbnVMU0xDVGNXRGVYeWoxTnJVby1aTVR5b0dFeF9QRjJmSjJLZWxkdWZTSEg4SXVERzd2aTkyWUl1ZE9RUEFYRHZsRGJXRmFwdWh3bFZsaS1VVFHSAbMBQVVfeXFMUG1vb0FOMFREMDVuLXNUMEtRTVpwRDlJdEpndkp3dHgycHhMZDdtQ0dxLUlCWEMtc1pDYTVEaUIxZ0hVQ1FFckdVQVctaGdvTWlFSXJRYjNJR3B6Z0tvdGhoUTZUWEV3ejdBM054TnJKNTlUd1dSa25RUXd3MjBZVHVkaGtmUThBVzJDZjNla2JFQjZpQUk5QlRYTUJDUTVPa05TcGtxSTVCTkxnZDVUcThNTTA?oc%3D5&gae=cb-,2024-08-05 10:33:03+00:00,"U.S. fugitive known as ""The Devil"" captured while working as cop in Mexico 20 years after Ohio murder",CBS News,1
